DateTime,MapCode,TotalLoadValue
2026-01-01 00:00:00,GB,29075
2026-01-01 00:30:00,GB,28023
2026-01-01 01:00:00,GB,29204
2026-01-01 01:30:00,GB,30133
2026-01-01 02:00:00,GB,28930
2026-01-01 02:30:00,GB,28370
2026-01-01 03:00:00,GB,28247
2026-01-01 03:30:00,GB,27680
2026-01-01 04:00:00,GB,26345
2026-01-01 04:30:00,GB,25585
2026-01-01 05:00:00,GB,24554
2026-01-01 05:30:00,GB,24178
2026-01-01 06:00:00,GB,23578
2026-01-01 06:30:00,GB,23542
2026-01-01 07:00:00,GB,24546
2026-01-01 07:30:00,GB,24800
2026-01-01 08:00:00,GB,26755
2026-01-01 08:30:00,GB,27242
2026-01-01 09:00:00,GB,29709
2026-01-01 09:30:00,GB,30695
2026-01-01 10:00:00,GB,32855
2026-01-01 10:30:00,GB,34308
2026-01-01 11:00:00,GB,36384
2026-01-01 11:30:00,GB,37265
2026-01-01 12:00:00,GB,37669
2026-01-01 12:30:00,GB,38404
2026-01-01 13:00:00,GB,40774
2026-01-01 13:30:00,GB,41224
2026-01-01 14:00:00,GB,41461
2026-01-01 14:30:00,GB,41370
2026-01-01 15:00:00,GB,40814
2026-01-01 15:30:00,GB,40529
2026-01-01 16:00:00,GB,41773
2026-01-01 16:30:00,GB,42496
2026-01-01 17:00:00,GB,43612
2026-01-01 17:30:00,GB,44750
2026-01-01 18:00:00,GB,45797
2026-01-01 18:30:00,GB,45495
2026-01-01 19:00:00,GB,45059
2026-01-01 19:30:00,GB,44500
2026-01-01 20:00:00,GB,43518
2026-01-01 20:30:00,GB,42624
2026-01-01 21:00:00,GB,40806
2026-01-01 21:30:00,GB,40019
2026-01-01 22:00:00,GB,37038
2026-01-01 22:30:00,GB,35959
2026-01-01 23:00:00,GB,33012
2026-01-01 23:30:00,GB,31746
2026-01-02 00:00:00,GB,31239
2026-01-02 00:30:00,GB,31093
2026-01-02 02:00:00,GB,31790
2026-01-01 00:00:00,IE,3877.694
2026-01-01 00:30:00,IE,3868.898
2026-01-01 01:00:00,IE,3814.388
2026-01-01 01:30:00,IE,3714.44
2026-01-01 02:00:00,IE,3648.388
2026-01-01 02:30:00,IE,3634.986
2026-01-01 03:00:00,IE,3541.854
2026-01-01 03:30:00,IE,3459.948
2026-01-01 04:00:00,IE,3403.347
2026-01-01 04:30:00,IE,3358.361
2026-01-01 05:00:00,IE,3315.682
2026-01-01 05:30:00,IE,3313.966
2026-01-01 06:00:00,IE,3322.59
2026-01-01 06:30:00,IE,3358.793
2026-01-01 07:00:00,IE,3401.777
2026-01-01 07:30:00,IE,3460.82
2026-01-01 08:00:00,IE,3456.395
2026-01-01 08:30:00,IE,3486.873
2026-01-01 09:00:00,IE,3561.237
2026-01-01 09:30:00,IE,3668.61
2026-01-01 10:00:00,IE,3772.632
2026-01-01 10:30:00,IE,3862.328
2026-01-01 11:00:00,IE,3935.771
2026-01-01 11:30:00,IE,4038.088
2026-01-01 12:00:00,IE,4092.347
2026-01-01 12:30:00,IE,4147.851
2026-01-01 13:00:00,IE,4169.547
2026-01-01 13:30:00,IE,4188.054
2026-01-01 14:00:00,IE,4176.53
2026-01-01 14:30:00,IE,4233.498
2026-01-01 15:00:00,IE,4216.481
2026-01-01 15:30:00,IE,4270.759
2026-01-01 16:00:00,IE,4358.465
2026-01-01 16:30:00,IE,4493.106
2026-01-01 17:00:00,IE,4664.933
2026-01-01 17:30:00,IE,4762.992
2026-01-01 18:00:00,IE,4737.116
2026-01-01 18:30:00,IE,4707.213
2026-01-01 19:00:00,IE,4657.201
2026-01-01 19:30:00,IE,4533.958
2026-01-01 20:00:00,IE,4469.114
2026-01-01 20:30:00,IE,4379.143
2026-01-01 21:00:00,IE,4287.283
2026-01-01 21:30:00,IE,4188.226
2026-01-01 22:00:00,IE,4086.653
2026-01-01 22:30:00,IE,3981.502
2026-01-01 23:00:00,IE,3845.28
2026-01-01 23:30:00,IE,3864.11
2026-01-02 00:00:00,IE,3755.4
2026-01-02 00:30:00,IE,3672.085
2026-01-02 01:00:00,IE,3559.57
2026-01-02 01:30:00,IE,3513.117
2026-01-02 02:00:00,IE,3451.336
2026-01-02 02:30:00,IE,3485.599
2026-01-02 03:00:00,IE,3450.23
2026-01-02 03:30:00,IE,3434.05
2026-01-02 04:00:00,IE,3397.291
2026-01-02 04:30:00,IE,3362.988
