# File: Vestas Climate Library time series data
# Disclaimer: Please be aware that the climate data provided here is derived from numerical models, which have inherent uncertainties and limitations. 
#             The data should be used with caution, considering the model's resolution, potential biases, and uncertainties. 
#             Expert consultation, thorough validation, and an understanding of the data's quality are essential for responsible use and decision-making. 
#             Vestas does not assume any responsibilities for the values contained in the VCL data and any calculations or assumptions that may be derived from them.
# License: Vestas Wind Systems A/S
#
# Created: 2024-02-01 09:53:03
# Location (WGS84):
# Start date: 2022-05-01 00:00:00
# End Date: 2022-05-05 23:00:00
# Number of points in file: 503
#
timestamp,xlat,xlong,dx,t2,wsp_50.0,wsp_150.0,wdir_50.0,wdir_150.0
2022-05-03 00:00:00,26.092075,-81.255219,3000,299.22,6.461088,8.771672,105.3185,105.1071
2022-05-03 01:00:00,26.092075,-81.255219,3000,298.02,5.788418,8.591625,106.7655,107.7388
2022-05-03 02:00:00,26.092075,-81.255219,3000,297.18,5.274865,8.477409,105.1351,107.2094
2022-05-03 03:00:00,26.092075,-81.255219,3000,296.52,3.947242,7.158311,93.6474,101.7932
2022-05-03 04:00:00,26.092075,-81.255219,3000,296.01,4.027489,7.760693,94.6083,103.0643
2022-05-03 05:00:00,26.092075,-81.255219,3000,295.39,4.169601,7.346588,89.1727,103.2504
2022-05-03 06:00:00,26.092075,-81.255219,3000,294.81,4.307704,8.461191,99.4515,108.8361
2022-05-03 07:00:00,26.092075,-81.255219,3000,294.44,4.435150,7.782111,93.8083,105.7169
2022-05-03 08:00:00,26.092075,-81.255219,3000,293.90,4.307717,8.213350,86.8302,98.4359
2022-05-03 09:00:00,26.092075,-81.255219,3000,293.66,5.088274,8.974233,76.7158,90.8825
2022-05-03 10:00:00,26.092075,-81.255219,3000,293.36,5.054833,8.782652,72.4299,92.5346
2022-05-03 11:00:00,26.092075,-81.255219,3000,293.16,4.858459,8.220718,80.2328,94.1338
2022-05-03 12:00:00,26.092075,-81.255219,3000,295.74,3.689087,8.896275,84.4657,97.6290
2022-05-03 13:00:00,26.092075,-81.255219,3000,298.56,4.093635,5.153129,102.8219,104.0703
2022-05-03 14:00:00,26.092075,-81.255219,3000,299.97,5.369329,6.104859,114.2585,114.4411
2022-05-03 15:00:00,26.092075,-81.255219,3000,301.08,5.090098,5.653066,113.7423,114.5485
2022-05-03 16:00:00,26.092075,-81.255219,3000,301.45,3.538637,3.957836,116.2794,116.8758
2022-05-03 17:00:00,26.092075,-81.255219,3000,302.94,5.439471,5.868279,105.1065,107.0826
2022-05-03 18:00:00,26.092075,-81.255219,3000,301.89,5.016678,5.493294,132.7452,132.6272
2022-05-03 19:00:00,26.092075,-81.255219,3000,304.57,4.947885,5.221161,114.5685,115.6519
2022-05-03 20:00:00,26.092075,-81.255219,3000,304.90,3.436184,3.693615,118.7271,119.0639
2022-05-03 21:00:00,26.092075,-81.255219,3000,301.52,4.317434,5.003071,215.2314,213.9721
2022-05-03 22:00:00,26.092075,-81.255219,3000,302.94,3.724678,4.113505,249.8225,249.1295
2022-05-03 23:00:00,26.092075,-81.255219,3000,296.51,7.596438,9.640673,73.1148,75.4267
2022-05-04 00:00:00,26.092075,-81.255219,3000,294.43,5.918350,5.301051,14.8632,34.4694
2022-05-04 01:00:00,26.092075,-81.255219,3000,296.44,1.068058,1.142267,359.1757,155.9948
2022-05-04 02:00:00,26.092075,-81.255219,3000,296.44,2.756568,5.553675,98.9959,114.5046
2022-05-04 03:00:00,26.092075,-81.255219,3000,295.62,2.803084,4.948108,56.4435,107.4793
2022-05-04 04:00:00,26.092075,-81.255219,3000,295.24,3.437501,4.667880,40.9386,93.7574
2022-05-04 05:00:00,26.092075,-81.255219,3000,295.17,3.614097,5.465468,58.8982,97.1463
2022-05-04 06:00:00,26.092075,-81.255219,3000,295.17,4.248293,7.248154,94.4865,101.2822
2022-05-04 07:00:00,26.092075,-81.255219,3000,293.91,3.880498,4.378045,64.4551,86.6897
2022-05-04 08:00:00,26.092075,-81.255219,3000,293.80,3.076476,3.508959,77.1033,115.7712
2022-05-04 09:00:00,26.092075,-81.255219,3000,293.68,2.108819,2.961443,101.5872,142.3699
2022-05-04 10:00:00,26.092075,-81.255219,3000,293.53,1.731292,2.543037,109.2731,152.8625
2022-05-04 11:00:00,26.092075,-81.255219,3000,293.47,1.691675,2.563250,118.3046,160.0489
2022-05-04 12:00:00,26.092075,-81.255219,3000,295.53,2.117308,2.645274,99.9888,142.2696
2022-05-04 13:00:00,26.092075,-81.255219,3000,298.31,1.548569,1.800079,113.1335,119.6354
2022-05-04 14:00:00,26.092075,-81.255219,3000,300.20,2.056592,2.200776,98.5918,100.7446
2022-05-04 15:00:00,26.092075,-81.255219,3000,301.77,1.671320,1.775700,93.4489,96.7890
2022-05-04 16:00:00,26.092075,-81.255219,3000,303.13,1.309704,1.350628,80.9758,87.0299
2022-05-04 17:00:00,26.092075,-81.255219,3000,304.20,1.362913,1.285060,28.3033,30.4011
2022-05-04 18:00:00,26.092075,-81.255219,3000,303.17,1.716499,1.699991,2.0437,3.9585
2022-05-04 19:00:00,26.092075,-81.255219,3000,305.20,1.261786,1.259764,26.4190,25.9377
2022-05-04 20:00:00,26.092075,-81.255219,3000,305.54,1.542114,1.548316,53.7881,55.0558
2022-05-04 21:00:00,26.092075,-81.255219,3000,300.57,8.307238,10.603794,182.0522,179.2236
2022-05-04 22:00:00,26.092075,-81.255219,3000,298.31,6.922831,7.664762,240.4793,239.4880
2022-05-04 23:00:00,26.092075,-81.255219,3000,299.53,3.354653,4.730345,239.7027,234.1608
2022-05-05 00:00:00,26.092075,-81.255219,3000,298.90,1.886201,4.957609,246.0579,250.0428
2022-05-05 01:00:00,26.092075,-81.255219,3000,296.79,8.297997,12.450048,36.9146,37.6853
2022-05-05 02:00:00,26.092075,-81.255219,3000,296.25,2.884217,2.574649,319.9735,334.5953
2022-05-05 03:00:00,26.092075,-81.255219,3000,296.17,1.149021,1.529703,221.7854,260.8976
2022-05-05 04:00:00,26.092075,-81.255219,3000,295.50,2.142493,2.043180,107.5022,107.7953
2022-05-05 05:00:00,26.092075,-81.255219,3000,296.02,2.548237,2.901212,120.8703,125.3610
2022-05-05 06:00:00,26.092075,-81.255219,3000,295.89,3.560326,4.127839,158.7214,171.5965
2022-05-05 07:00:00,26.092075,-81.255219,3000,295.60,2.838759,3.021282,187.0943,197.0691
2022-05-05 08:00:00,26.092075,-81.255219,3000,294.82,2.133484,4.370361,135.9800,158.4639
2022-05-05 09:00:00,26.092075,-81.255219,3000,294.72,2.666776,5.404609,135.6168,149.4453
2022-05-05 10:00:00,26.092075,-81.255219,3000,294.64,4.029603,6.192232,143.9783,147.4500
2022-05-05 11:00:00,26.092075,-81.255219,3000,294.67,3.159590,5.954723,142.6460,148.2650
2022-05-05 12:00:00,26.092075,-81.255219,3000,296.54,2.078003,5.206800,130.3099,152.0085
2022-05-05 13:00:00,26.092075,-81.255219,3000,298.89,2.189784,2.663572,152.6880,153.9377
2022-05-05 14:00:00,26.092075,-81.255219,3000,300.80,2.237039,2.493810,157.2295,157.8680
2022-05-05 15:00:00,26.092075,-81.255219,3000,302.56,1.188427,1.319173,146.6730,149.1181
2022-05-05 16:00:00,26.092075,-81.255219,3000,303.92,0.670421,0.722286,109.1133,116.8746
2022-05-05 17:00:00,26.092075,-81.255219,3000,304.94,0.859271,0.771737,18.5835,18.1554
2022-05-05 18:00:00,26.092075,-81.255219,3000,305.46,3.080396,3.088858,18.1207,16.1795
2022-05-05 19:00:00,26.092075,-81.255219,3000,305.95,2.775395,2.884626,23.7514,21.0886
2022-05-05 20:00:00,26.092075,-81.255219,3000,306.03,2.868283,2.950850,336.6173,336.7384
2022-05-05 21:00:00,26.092075,-81.255219,3000,305.63,1.936537,2.033874,293.7326,295.8335
2022-05-05 22:00:00,26.092075,-81.255219,3000,302.92,8.225026,9.432093,243.5204,245.1464
2022-05-05 23:00:00,26.092075,-81.255219,3000,295.41,7.719179,9.413697,128.9639,121.0096
2022-05-01 00:00:00,26.092388,-81.830750,3000,296.60,3.063958,4.870619,120.4242,118.6074
2022-05-01 01:00:00,26.092388,-81.830750,3000,296.89,4.914221,5.487153,30.5806,35.9106
2022-05-01 02:00:00,26.092388,-81.830750,3000,296.78,5.935426,9.204481,83.2225,92.4907
2022-05-01 03:00:00,26.092388,-81.830750,3000,296.26,4.800680,7.670354,79.0647,89.6915
2022-05-01 04:00:00,26.092388,-81.830750,3000,295.95,4.268081,6.063564,72.3502,94.2178
2022-05-01 05:00:00,26.092388,-81.830750,3000,295.88,3.624940,6.089283,71.2978,111.5731
2022-05-01 06:00:00,26.092388,-81.830750,3000,296.02,5.960614,7.968867,59.8454,76.0838
2022-05-01 07:00:00,26.092388,-81.830750,3000,295.81,5.286618,7.854819,63.2385,81.5981
2022-05-01 08:00:00,26.092388,-81.830750,3000,295.66,5.696938,8.056596,84.8531,105.5712
2022-05-01 09:00:00,26.092388,-81.830750,3000,295.52,5.293103,8.861531,93.4407,114.1391
2022-05-01 10:00:00,26.092388,-81.830750,3000,295.62,5.503110,7.881027,63.3983,85.1035
2022-05-01 11:00:00,26.092388,-81.830750,3000,295.59,5.885520,8.609083,56.5932,78.1500
2022-05-01 12:00:00,26.092388,-81.830750,3000,295.86,5.291353,9.146067,77.2182,97.3745
2022-05-01 13:00:00,26.092388,-81.830750,3000,297.34,4.925372,7.896585,96.7356,104.4202
2022-05-01 14:00:00,26.092388,-81.830750,3000,298.42,6.448027,7.089963,108.8827,108.9160
2022-05-01 15:00:00,26.092388,-81.830750,3000,299.08,5.351877,5.771421,109.0530,108.9138
2022-05-01 16:00:00,26.092388,-81.830750,3000,299.88,4.087055,4.425591,112.2070,111.2594
2022-05-01 17:00:00,26.092388,-81.830750,3000,298.90,5.919226,5.594130,204.0114,198.1703
2022-05-01 18:00:00,26.092388,-81.830750,3000,298.80,5.217603,5.463474,225.7093,213.2600
2022-05-01 19:00:00,26.092388,-81.830750,3000,298.80,5.265933,5.225783,247.1611,228.9433
2022-05-01 20:00:00,26.092388,-81.830750,3000,298.91,5.595910,4.631286,284.9274,274.0521
2022-05-01 21:00:00,26.092388,-81.830750,3000,299.01,4.542073,4.463635,247.2803,229.7877
2022-05-01 22:00:00,26.092388,-81.830750,3000,299.05,4.607755,5.063239,216.8095,213.7132
2022-05-01 23:00:00,26.092388,-81.830750,3000,298.85,3.797439,4.199753,234.7440,231.2816
2022-05-02 00:00:00,26.092388,-81.830750,3000,298.86,2.919823,2.951345,322.6022,318.4446
2022-05-02 01:00:00,26.092388,-81.830750,3000,298.40,5.763709,5.827163,30.2955,28.2606
2022-05-02 02:00:00,26.092388,-81.830750,3000,298.01,1.925385,2.641890,312.4510,278.4079
2022-05-02 03:00:00,26.092388,-81.830750,3000,297.82,3.329822,3.136638,57.5593,41.7092
2022-05-02 04:00:00,26.092388,-81.830750,3000,297.62,3.125427,1.861526,65.0567,52.4564
2022-05-02 05:00:00,26.092388,-81.830750,3000,296.97,4.406240,3.880455,87.6862,110.8499
2022-05-02 06:00:00,26.092388,-81.830750,3000,296.85,4.218875,6.019804,104.2381,123.1594
2022-05-02 07:00:00,26.092388,-81.830750,3000,296.52,4.688633,6.678462,71.2746,98.3651
2022-05-02 08:00:00,26.092388,-81.830750,3000,296.13,5.014878,6.549222,81.3554,106.0453
2022-05-02 09:00:00,26.092388,-81.830750,3000,295.92,4.941189,6.143260,80.9012,103.5948
2022-05-02 10:00:00,26.092388,-81.830750,3000,295.97,4.984804,5.597841,72.2127,95.6888
2022-05-02 11:00:00,26.092388,-81.830750,3000,295.83,5.640445,6.594146,73.2940,93.0894
2022-05-02 12:00:00,26.092388,-81.830750,3000,296.37,4.445292,7.839837,77.3330,100.3430
2022-05-02 13:00:00,26.092388,-81.830750,3000,297.84,3.835862,5.128359,92.1879,100.2517
2022-05-02 14:00:00,26.092388,-81.830750,3000,298.69,4.233272,4.578455,117.6153,116.8906
2022-05-02 15:00:00,26.092388,-81.830750,3000,299.09,3.336347,3.292765,183.9471,173.5619
2022-05-02 16:00:00,26.092388,-81.830750,3000,298.64,6.047881,5.975313,196.1646,190.3113
2022-05-02 17:00:00,26.092388,-81.830750,3000,298.67,6.419150,6.265241,204.8817,191.4378
2022-05-02 18:00:00,26.092388,-81.830750,3000,298.68,5.428093,5.740735,237.2452,218.0810
2022-05-02 19:00:00,26.092388,-81.830750,3000,298.64,4.522284,4.266913,286.7675,265.8882
2022-05-02 20:00:00,26.092388,-81.830750,3000,298.85,3.972003,4.130340,256.6052,232.4649
2022-05-02 21:00:00,26.092388,-81.830750,3000,298.85,3.501530,4.200967,229.1773,217.2044
2022-05-02 22:00:00,26.092388,-81.830750,3000,298.74,4.833960,5.628414,209.1017,204.7747
2022-05-02 23:00:00,26.092388,-81.830750,3000,298.71,5.215782,6.173017,202.6471,198.4056
2022-05-03 00:00:00,26.092388,-81.830750,3000,298.67,4.062399,5.128054,204.9358,200.1813
2022-05-03 01:00:00,26.092388,-81.830750,3000,298.69,1.713247,2.005233,263.9753,241.2989
2022-05-03 02:00:00,26.092388,-81.830750,3000,298.58,1.842567,2.046450,97.7719,112.2085
2022-05-03 03:00:00,26.092388,-81.830750,3000,297.70,4.674658,5.717260,61.5960,92.2970
2022-05-03 04:00:00,26.092388,-81.830750,3000,297.83,4.475341,6.486220,55.9233,75.5888
2022-05-03 05:00:00,26.092388,-81.830750,3000,297.59,4.747945,6.866258,75.0838,89.4233
2022-05-03 06:00:00,26.092388,-81.830750,3000,297.32,4.604011,7.065346,78.6338,93.6095
2022-05-03 07:00:00,26.092388,-81.830750,3000,296.88,4.724571,7.429261,87.3485,102.1140
2022-05-03 08:00:00,26.092388,-81.830750,3000,296.62,5.227991,8.463739,80.0868,99.0157
2022-05-03 09:00:00,26.092388,-81.830750,3000,296.42,5.540972,8.738724,76.3331,92.6746
2022-05-03 10:00:00,26.092388,-81.830750,3000,296.33,6.268708,10.119325,82.1384,93.5613
2022-05-03 11:00:00,26.092388,-81.830750,3000,296.19,5.979092,10.054341,91.8053,100.5920
2022-05-03 12:00:00,26.092388,-81.830750,3000,296.58,4.716934,9.355992,88.7868,100.6197
2022-05-03 13:00:00,26.092388,-81.830750,3000,297.83,5.564711,7.057280,97.9884,100.3324
2022-05-03 14:00:00,26.092388,-81.830750,3000,298.75,6.003790,6.556615,114.4929,114.5370
2022-05-03 15:00:00,26.092388,-81.830750,3000,299.47,4.495510,4.960004,131.7345,128.2866
2022-05-03 16:00:00,26.092388,-81.830750,3000,299.06,5.344721,5.218147,190.4673,177.2946
2022-05-03 17:00:00,26.092388,-81.830750,3000,298.87,5.135300,6.076132,199.9632,181.2894
2022-05-03 18:00:00,26.092388,-81.830750,3000,298.87,5.867480,6.636782,224.8555,204.6016
2022-05-03 19:00:00,26.092388,-81.830750,3000,298.87,5.029248,6.083206,229.9495,217.0268
2022-05-03 20:00:00,26.092388,-81.830750,3000,298.79,4.637580,5.282587,248.3490,238.3874
2022-05-03 21:00:00,26.092388,-81.830750,3000,298.74,4.120231,4.490897,267.0486,253.6992
2022-05-03 22:00:00,26.092388,-81.830750,3000,298.71,3.618586,4.026691,262.4030,246.2176
2022-05-03 23:00:00,26.092388,-81.830750,3000,298.72,3.411100,4.452040,228.7444,212.4287
2022-05-04 00:00:00,26.092388,-81.830750,3000,298.69,3.323363,4.963778,204.8779,194.1277
2022-05-04 01:00:00,26.092388,-81.830750,3000,298.39,5.675518,5.926838,57.2045,59.4277
2022-05-04 02:00:00,26.092388,-81.830750,3000,297.40,2.487409,1.498831,101.2705,144.0830
2022-05-04 03:00:00,26.092388,-81.830750,3000,297.97,3.408244,3.167483,48.2610,38.0688
2022-05-04 04:00:00,26.092388,-81.830750,3000,298.03,1.789292,1.866285,40.4457,44.3523
2022-05-04 05:00:00,26.092388,-81.830750,3000,297.37,3.343665,5.245722,70.0730,110.8476
2022-05-04 06:00:00,26.092388,-81.830750,3000,297.11,3.862233,5.269275,61.6229,87.0145
2022-05-04 07:00:00,26.092388,-81.830750,3000,296.89,4.756192,5.233309,81.0085,96.2023
2022-05-04 08:00:00,26.092388,-81.830750,3000,296.72,5.294174,5.707853,82.1152,98.3750
2022-05-04 09:00:00,26.092388,-81.830750,3000,296.60,5.039803,4.966498,86.9469,107.6544
2022-05-04 10:00:00,26.092388,-81.830750,3000,296.55,4.326987,3.726175,94.8264,125.8488
2022-05-04 11:00:00,26.092388,-81.830750,3000,296.48,3.851665,3.373847,105.3133,143.7048
