DateTime,Forecasted Load [forecast-entsoe],Actual Load [actual-entsoe],Wind Onshore [forecast-entsoe],Fossil Gas [Actual Aggregated] [actual-entsoe],Fossil Hard coal [Actual Aggregated] [actual-entsoe],Fossil Oil [Actual Aggregated] [actual-entsoe],Fossil Peat [Actual Aggregated] [actual-entsoe],Hydro Pumped Storage [Actual Aggregated] [actual-entsoe],Hydro Run-of-river and pondage [Actual Aggregated] [actual-entsoe],Solar [Actual Aggregated] [actual-entsoe],Wind Onshore [Actual Aggregated] [actual-entsoe],Other [Actual Aggregated] [actual-entsoe],Fossil Gas [Actual Consumption] [actual-entsoe],Fossil Hard coal [Actual Consumption] [actual-entsoe],Fossil Oil [Actual Consumption] [actual-entsoe],Fossil Peat [Actual Consumption] [actual-entsoe],Hydro Pumped Storage [Actual Consumption] [actual-entsoe],Hydro Run-of-river and pondage [Actual Consumption] [actual-entsoe],Solar [Actual Consumption] [actual-entsoe],Other [Actual Consumption] [actual-entsoe],ACTUAL WIND(MW),FORECAST WIND(MW),irainfall   Rainfall indicator,Precipitation Amount (mm)  ,ittt Dry bulb indicator,Air Temperature (C),iwb Wet bulb indicator,Wet Bulb Temperature ©,Dew Point Temperature ©,Vapour Pressure (hPa)    , Relative Humidity (%) ,Mean Sea Level Pressure (hPa),itabspeed wind Speed indicator,Mean Wind Speed (kt),itabdir  wind dir indicator,Predominant Wind Direction (deg),Weekday,Mean Wind Speed (km/h)
2025-01-01 00:00:00+00:00,4198.0,3503.125,1972.755,317.99,0.0,168.735,40.955,17.39,92.91,0.0,1914.2150000000001,0.0,1.73,8.93,0.13,0.0,0.0,0.0,0.0,0.655,1951.75,1954.5,0.0,0.78,0.0,7.78,0.0,6.87,5.69,9.275,86.35,1001.97,2,14.88888889,2.0,250.0,1,27.57422222
2025-01-01 01:00:00+00:00,4084.5,3396.02,1900.115,314.32,0.0,164.37,41.13,0.0,93.16,0.0,1980.9899999999998,0.0,2.025,9.045,0.14500000000000002,0.0,146.79500000000002,0.0,0.0,0.66,1945.5,1919.5,0.0,1.095,0.0,7.39,0.0,6.495,5.35,9.04,86.65,1001.275,2,14.44444444,2.0,250.5555556,1,26.75111111
2025-01-01 02:00:00+00:00,3979.5,3283.1,2104.335,312.05499999999995,0.0,164.535,41.095,0.0,93.315,0.0,1844.3200000000002,0.0,3.7,9.045,0.16,0.0,145.91,0.0,0.0,0.665,1829.75,2148.5,0.0,1.035,0.0,6.83,0.0,5.95,4.79,8.655,86.7,1000.565,2,13.66666667,2.0,252.7777778,1,25.31066667
2025-01-01 03:00:00+00:00,3918.0,3177.675,2348.995,321.31,0.0,167.9,41.13,0.0,93.195,0.0,1711.0349999999999,0.0,3.7,8.7,0.19,0.0,143.89999999999998,0.0,0.0,0.655,1699.0,2338.75,0.0,1.175,0.0,6.29,0.0,5.495,4.43,8.39,87.45,1000.78,2,13.16666667,2.0,270.0,1,24.38466667
2025-01-01 04:00:00+00:00,3866.0,3059.38,2307.62,315.38,0.0,164.2,41.025000000000006,0.0,92.93,0.0,1559.61,0.0,3.7,8.48,0.175,0.0,143.71499999999997,0.0,0.0,0.66,1541.75,2318.0,0.0,0.375,0.0,6.185,0.0,5.415,4.345,8.355,87.65,1000.82,2,12.88888889,2.0,269.4444444,1,23.87022222
2025-01-01 05:00:00+00:00,3889.0,2987.225,2450.51,311.24,0.0,164.535,41.06,0.0,93.095,0.0,1469.35,0.0,3.555,8.815,0.14500000000000002,0.0,143.31,0.0,0.0,0.66,1487.75,2491.0,0.0,0.15,0.0,6.14,0.0,5.31,4.155,8.235,86.95,1000.875,2,12.05555556,2.0,271.6666667,1,22.32688889
2025-01-01 06:00:00+00:00,3986.0,3029.41,2456.96,323.16,0.0,169.225,41.2,0.0,93.79,0.0,1726.73,0.0,3.7,8.7,0.16,0.0,141.115,0.0,0.0,0.635,1791.5,2470.5,0.0,0.065,0.0,6.255,0.0,5.315,4.04,8.175,85.85,1001.48,2,11.66666667,2.0,271.1111111,1,21.60666667
2025-01-01 07:00:00+00:00,4057.5,3147.95,2508.1,313.615,0.0,165.04000000000002,40.99,0.0,92.88499999999999,0.0,1902.895,0.0,4.015000000000001,8.59,0.115,0.0,106.17999999999999,0.0,0.0,0.66,1891.75,2493.5,0.0,0.035,0.0,6.205,0.0,5.27,4.0,8.145,85.65,1002.27,2,11.05555556,2.0,272.2222222,1,20.47488889
2025-01-01 08:00:00+00:00,4087.0,3214.685,2368.12,314.05,0.0,164.7,41.025000000000006,5.16,93.8,0.0,1732.655,0.0,3.89,8.815,0.14500000000000002,0.0,0.0,0.0,0.0,0.665,1718.5,2341.75,0.0,0.11,0.0,6.005,0.0,5.025,3.645,7.945,84.8,1003.01,2,10.38888889,2.0,253.3333333,1,19.24022222
2025-01-01 09:00:00+00:00,4176.5,3350.615,2129.57,315.495,0.0,164.535,41.06,5.125,99.86500000000001,0.0,1600.085,0.0,5.125,9.045,0.085,0.0,0.0,0.0,0.0,0.64,1606.25,2088.75,0.0,0.085,0.0,5.99,0.0,4.89,3.32,7.775,83.15,1003.89,2,9.666666667,2.0,272.2222222,1,17.90266667
2025-01-01 10:00:00+00:00,4339.5,3606.91,1808.375,341.325,0.0,168.22,42.14,5.6,113.11500000000001,0.0,1744.9,0.0,4.08,8.93,0.1,0.0,0.0,0.0,0.0,0.66,1721.0,1770.25,0.0,0.03,0.0,6.045,0.0,4.95,3.405,7.805,83.1,1004.785,2,9.222222222,2.0,265.5555556,1,17.07955556
2025-01-01 11:00:00+00:00,4480.0,3816.215,1577.635,546.88,0.0,216.71,92.905,0.0,125.495,0.0,1477.3600000000001,0.0,5.58,8.93,0.115,0.0,0.0,0.0,0.0,0.635,1457.5,1576.75,0.0,0.105,0.0,6.305,0.0,5.065,3.33,7.775,81.2,1005.645,2,10.05555556,2.0,276.6666667,1,18.62288889
2025-01-01 12:00:00+00:00,4562.5,3928.065,1613.875,841.84,0.0,422.02,87.495,0.0,124.865,0.0,1214.955,0.0,0.38,8.93,0.1,0.0,0.0,0.0,0.0,0.66,1171.5,1612.5,0.0,0.065,0.0,6.72,0.0,5.33,3.42,7.82,79.35,1005.985,2,10.38888889,2.0,263.8888889,1,19.24022222
2025-01-01 13:00:00+00:00,4589.0,4003.44,1587.375,1353.7350000000001,0.0,423.52,90.985,0.0,124.325,0.0,958.0,0.0,0.38,8.93,0.115,0.0,0.0,0.0,0.0,0.665,938.0,1577.75,0.0,0.03,0.0,6.9,0.0,5.46,3.5,7.86,78.55,1006.27,2,10.66666667,2.0,272.7777778,1,19.75466667
2025-01-01 14:00:00+00:00,4578.0,4005.59,1495.715,1542.4650000000001,0.0,298.725,95.905,0.0,125.03999999999999,0.0,841.105,0.0,0.38,8.93,0.1,0.0,0.0,0.0,0.0,0.66,850.25,1478.5,0.0,0.06,0.0,6.685,0.0,5.26,3.26,7.74,78.4,1006.59,2,10.61111111,2.0,275.5555556,1,19.65177778
2025-01-01 15:00:00+00:00,4624.0,4044.625,1359.38,1573.855,0.0,244.555,97.27,2.855,124.175,0.0,848.785,0.0,0.375,8.93,0.1,0.0,0.0,0.0,0.0,0.66,864.5,1342.5,0.0,0.15,0.0,6.23,0.0,4.925,3.09,7.64,80.0,1007.11,2,9.666666667,2.0,258.8888889,1,17.90266667
2025-01-01 16:00:00+00:00,4870.0,4187.1849999999995,1223.095,1635.3400000000001,0.0,186.83999999999997,89.34,86.01499999999999,125.395,0.0,941.73,0.0,0.38,9.045,0.1,0.0,0.0,0.0,0.0,0.66,935.75,1205.25,0.0,0.105,0.0,5.715,0.0,4.56,2.915,7.545,81.95,1008.105,2,7.722222222,2.0,243.8888889,1,14.30155556
2025-01-01 17:00:00+00:00,5172.5,4514.344999999999,1082.26,1697.4250000000002,0.0,179.12,96.985,292.905,125.035,0.0,1015.27,0.0,0.38,8.59,0.085,0.0,0.0,0.0,0.0,0.665,996.25,1064.5,0.0,0.075,0.0,4.92,0.0,3.945,2.51,7.335,84.1,1009.18,2,7.222222222,2.0,246.1111111,1,13.37555556
2025-01-01 18:00:00+00:00,5195.5,4514.24,1048.49,1697.6799999999998,0.0,252.27499999999998,93.36,288.105,124.535,0.0,971.8399999999999,0.0,0.375,8.705,0.115,0.0,0.0,0.0,0.0,0.66,963.75,1028.75,0.0,0.055,0.0,4.36,0.0,3.555,2.37,7.26,86.75,1010.19,2,6.777777778,2.0,212.7777778,1,12.55244444
2025-01-01 19:00:00+00:00,5056.0,4379.445,896.905,1730.26,0.0,253.78,100.725,280.05,125.465,0.0,864.74,0.0,0.375,8.7,0.1,0.0,0.0,0.0,0.0,0.66,846.5,880.25,0.0,0.14,0.0,3.93,0.0,3.16,1.99,7.07,87.05,1011.285,2,6.444444444,2.0,208.3333333,1,11.93511111
2025-01-01 20:00:00+00:00,4852.5,4234.805,783.56,1701.565,0.0,243.70499999999998,101.17500000000001,195.015,124.77,0.0,795.2950000000001,0.0,0.405,9.045,0.1,0.0,0.0,0.0,0.0,0.66,792.75,777.0,0.0,0.005,0.0,3.36,0.0,2.62,1.52,6.83,87.75,1012.395,2,6.388888889,2.0,140.5555556,1,11.83222222
2025-01-01 21:00:00+00:00,4587.0,4083.5299999999997,738.115,1727.335,0.0,222.41500000000002,105.65,59.035,125.10499999999999,0.0,713.28,0.0,0.38,8.93,0.1,0.0,0.0,0.0,0.0,0.655,681.5,735.5,0.0,0.045,0.0,2.92,0.0,2.28,1.305,6.73,88.8,1013.335,2,6.888888889,2.0,137.7777778,1,12.75822222
