date,irainfall   Rainfall indicator,Precipitation Amount (mm)  ,ittt Dry bulb indicator,Air Temperature (C),iwb Wet bulb indicator,Wet Bulb Temperature ©,Dew Point Temperature ©,Vapour Pressure (hPa)    , Relative Humidity (%) ,Mean Sea Level Pressure (hPa),itabspeed wind Speed indicator,Mean Wind Speed (kt),itabdir  wind dir indicator,Predominant Wind Direction (deg),Weekday,Mean Wind Speed (km/h)
01/01/2025 00:00,0,0.78,0,7.78,0,6.87,5.69,9.275,86.35,1001.97,2,14.88888889,2,250,1,27.57422222
01/01/2025 01:00,0,1.095,0,7.39,0,6.495,5.35,9.04,86.65,1001.275,2,14.44444444,2,250.5555556,1,26.75111111
01/01/2025 02:00,0,1.035,0,6.83,0,5.95,4.79,8.655,86.7,1000.565,2,13.66666667,2,252.7777778,1,25.31066667
01/01/2025 03:00,0,1.175,0,6.29,0,5.495,4.43,8.39,87.45,1000.78,2,13.16666667,2,270,1,24.38466667
01/01/2025 04:00,0,0.375,0,6.185,0,5.415,4.345,8.355,87.65,1000.82,2,12.88888889,2,269.4444444,1,23.87022222
01/01/2025 05:00,0,0.15,0,6.14,0,5.31,4.155,8.235,86.95,1000.875,2,12.05555556,2,271.6666667,1,22.32688889
01/01/2025 06:00,0,0.065,0,6.255,0,5.315,4.04,8.175,85.85,1001.48,2,11.66666667,2,271.1111111,1,21.60666667
01/01/2025 07:00,0,0.035,0,6.205,0,5.27,4,8.145,85.65,1002.27,2,11.05555556,2,272.2222222,1,20.47488889
01/01/2025 08:00,0,0.11,0,6.005,0,5.025,3.645,7.945,84.8,1003.01,2,10.38888889,2,253.3333333,1,19.24022222
01/01/2025 09:00,0,0.085,0,5.99,0,4.89,3.32,7.775,83.15,1003.89,2,9.666666667,2,272.2222222,1,17.90266667
01/01/2025 10:00,0,0.03,0,6.045,0,4.95,3.405,7.805,83.1,1004.785,2,9.222222222,2,265.5555556,1,17.07955556
01/01/2025 11:00,0,0.105,0,6.305,0,5.065,3.33,7.775,81.2,1005.645,2,10.05555556,2,276.6666667,1,18.62288889
01/01/2025 12:00,0,0.065,0,6.72,0,5.33,3.42,7.82,79.35,1005.985,2,10.38888889,2,263.8888889,1,19.24022222
01/01/2025 13:00,0,0.03,0,6.9,0,5.46,3.5,7.86,78.55,1006.27,2,10.66666667,2,272.7777778,1,19.75466667
01/01/2025 14:00,0,0.06,0,6.685,0,5.26,3.26,7.74,78.4,1006.59,2,10.61111111,2,275.5555556,1,19.65177778
01/01/2025 15:00,0,0.15,0,6.23,0,4.925,3.09,7.64,80,1007.11,2,9.666666667,2,258.8888889,1,17.90266667
01/01/2025 16:00,0,0.105,0,5.715,0,4.56,2.915,7.545,81.95,1008.105,2,7.722222222,2,243.8888889,1,14.30155556
01/01/2025 17:00,0,0.075,0,4.92,0,3.945,2.51,7.335,84.1,1009.18,2,7.222222222,2,246.1111111,1,13.37555556
01/01/2025 18:00,0,0.055,0,4.36,0,3.555,2.37,7.26,86.75,1010.19,2,6.777777778,2,212.7777778,1,12.55244444
01/01/2025 19:00,0,0.14,0,3.93,0,3.16,1.99,7.07,87.05,1011.285,2,6.444444444,2,208.3333333,1,11.93511111
01/01/2025 20:00,0,0.005,0,3.36,0,2.62,1.52,6.83,87.75,1012.395,2,6.388888889,2,140.5555556,1,11.83222222
01/01/2025 21:00,0,0.045,0,2.92,0,2.28,1.305,6.73,88.8,1013.335,2,6.888888889,2,137.7777778,1,12.75822222
01/01/2025 22:00,0,0.015,0,2.715,0,2.075,1.065,6.62,88.8,1014.24,2,6.222222222,2,133.3333333,1,11.52355556
01/01/2025 23:00,0,0.04,0,2.425,0,1.85,0.93,6.57,89.9,1015.19,2,5.777777778,2,182.7777778,1,10.70044444
02/01/2025 00:00,0,0.035,0,2.23,0,1.64,0.72,6.465,89.8,1016.155,2,5.888888889,2,203.8888889,1,10.90622222
02/01/2025 01:00,0,0.075,0,1.915,0,1.355,0.425,6.35,90,1016.775,2,5.555555556,2,173.8888889,1,10.28888889
02/01/2025 02:00,0,0.06,0,1.565,0,1.03,0.185,6.215,90.55,1017.45,2,6,2,160,1,11.112
02/01/2025 03:00,0,0.01,0,1.355,0,0.83,-0.045,6.13,90.2,1018.325,2,5.722222222,2,163.8888889,1,10.59755556
02/01/2025 04:00,0,0.04,0,1.04,0,0.515,-0.375,5.995,90.25,1019.17,2,6.222222222,2,195.5555556,1,11.52355556
02/01/2025 05:00,0,0.01,0,0.825,0,0.225,-0.79,5.79,89.2,1019.955,2,6.277777778,2,205,1,11.62644444
02/01/2025 06:00,0,0,0,0.55,0,0,-0.945,5.725,89.8,1020.81,2,6,2,217.7777778,1,11.112
02/01/2025 07:00,0,0.005,0,0.25,0,-0.25,-1.135,5.66,90.1,1021.565,2,6,2,238.8888889,1,11.112
02/01/2025 08:00,0,0.005,0,-0.1,0,-0.58,-1.415,5.53,90.8,1022.415,2,5.388888889,2,256.1111111,1,9.980222222
02/01/2025 09:00,0,0.015,0,-0.085,0,-0.585,-1.5,5.505,90.1,1023.42,2,5.833333333,2,230.5555556,1,10.80333333
02/01/2025 10:00,0,0.005,0,0.685,0,0.105,-0.88,5.755,89,1024.225,2,5.777777778,2,265.5555556,1,10.70044444
02/01/2025 11:00,0,0.01,0,1.87,0,1.14,-0.11,6.065,86.7,1025.035,2,5.888888889,2,252.7777778,1,10.90622222
02/01/2025 12:00,0,0.01,0,2.895,0,1.915,0.32,6.265,83.2,1025.26,2,6.388888889,2,250.5555556,1,11.83222222
02/01/2025 13:00,0,0.005,0,3.725,0,2.58,0.68,6.43,80.3,1025.285,2,6.444444444,2,258.3333333,1,11.93511111
